,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name,pr_merge_status
116,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-06-24 21:33:13,kyuhojeong,merged
117,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-06-22 01:34:41,kyuhojeong,merged
118,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-06-13 21:13:56,kyuhojeong,merged
119,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-06-08 01:43:12,kyuhojeong,merged
120,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-09 17:32:14,jisuoqing,merged
121,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-05-04 15:46:32,pstjuste,merged
122,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-04-29 03:56:20,pstjuste,merged
123,25978,NNDrone,2023-02-28 16:46:00,pull_request_created,2018-04-03 15:43:24,jatin10805,merged
124,25978,NNDrone,2023-02-28 16:46:00,pull_request_created,2018-03-23 09:20:37,pradeepgopalakrishnan,merged
125,26045,dealii,2023-02-28 16:46:00,pull_request_created,2021-04-20 07:06:02,simonsticko,merged
126,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-04-20 23:23:22,kyuhojeong,merged
127,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-03-31 20:35:17,kyuhojeong,merged
128,25840,Controllers,2023-02-28 16:46:00,pull_request_created,2014-03-04 23:16:14,kyuhojeong,merged
129,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-08 09:01:28,neutrinoceros,merged
130,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-24 15:28:29,oschuett,merged
131,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-07 18:22:17,chrishavlin,merged
132,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-06 19:11:00,neutrinoceros,merged
133,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-06 18:36:30,pre-commit-ci[bot],merged
134,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-06 14:10:37,neutrinoceros,merged
135,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-04 14:14:41,neutrinoceros,not merged
136,26069,Trilinos,2023-02-28 16:46:00,pull_request_created,2019-01-14 22:05:48,jhux2,merged
137,25874,pegasus,2023-02-28 16:46:00,pull_request_created,2023-02-07 10:19:28,zaiyan-alam,merged
138,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-03 17:32:55,pgrete,not merged
139,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-02-02 09:43:40,neutrinoceros,not merged
140,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-31 16:19:16,neutrinoceros,merged
141,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-24 13:12:19,mkrack,merged
142,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-30 20:14:22,neutrinoceros,merged
143,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-30 18:19:01,pre-commit-ci[bot],merged
144,26069,Trilinos,2023-02-28 16:46:00,pull_request_created,2019-01-14 17:50:15,rhoope,merged
145,25939,ompi,2023-02-28 16:46:00,pull_request_created,2021-03-17 00:14:18,bwbarrett,merged
146,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-28 00:23:15,chrishavlin,merged
